dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
NA,NA,Distances_too_small,1001
NA,NA,Distances_too_small,1002
NA,NA,Distances_too_small,1003
NA,NA,Distances_too_small,1004
NA,NA,Distances_too_small,1005
275574.116892154,1497653.21772289,Okay,1006
275574.448831266,1497654.02679182,Okay,1007
275574.799393391,1497654.90085723,Okay,1008
275573.893277873,1497655.86539795,Okay,1009
275571.564340546,1497655.56413912,Okay,1010
275571.499492578,1497655.99964836,Okay,1011
275571.848825948,1497654.95538494,Okay,1012
NA,NA,Distances_too_small,1013
275573.272565281,1497656.03628683,Okay,1014
275571.463645779,1497656.83056403,Okay,1015
NA,NA,Distances_too_small,1016
NA,NA,Corner_missing,1017
275572.132384689,1497659.82644134,Okay,1018
275575.272204369,1497661.0830924,Okay,1019
275578.828115774,1497662.72662499,Outside_cell,1020
275578.769787877,1497662.00292059,Outside_cell,1021
NA,NA,Corner_missing,1022
