dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275566.413742826,1497712.21113684,Okay,3698
275569.206123689,1497711.77415916,Okay,3699
275570.83090065,1497713.55350732,Okay,3700
275568.980965222,1497713.93360011,Okay,3747
275568.687357477,1497715.22722518,_Distances_too_small,3748
275567.344266198,1497713.58772353,Okay,3749
275569.711569418,1497715.3649463,Okay,3750
275569.878906758,1497715.26822928,Okay,3751
275570.094106542,1497713.63071688,Okay,3752
275571.809345113,1497713.87681278,Okay,3753
275571.943640642,1497713.94265317,Okay,3754
275573.214809915,1497713.52529788,Okay,3755
275573.6763093,1497714.19948098,Okay,3756
275574.058232713,1497713.69010047,Okay,3757
275574.956699619,1497714.35758202,Okay,3758
275573.940420622,1497715.10534299,Okay,3759
275573.470202637,1497715.29229667,Okay,3760
275572.37395316,1497716.10455265,Okay,3761
275573.297897179,1497716.31287483,Okay,3762
275571.978427338,1497714.71722459,Okay,3763
275574.670542695,1497711.82377369,Okay,3764
275575.493993799,1497711.71957915,Okay,3765
275576.848627713,1497712.16046591,Okay,3766
275576.906190501,1497711.41881051,Okay,3767
275574.305237411,1497710.97128315,Okay,3768
275574.344530504,1497710.58325649,Okay,3769
275573.861782632,1497709.9226617,Okay,3770
275574.279881704,1497709.69457513,Okay,3771
275575.899376877,1497708.55148132,Okay,3772
275573.797621315,1497708.31069438,Okay,3773
275574.571026134,1497707.27024245,Okay,3774
275572.820756435,1497707.70836232,Okay,3775
275571.793437432,1497707.35818079,Okay,3776
275571.449494366,1497707.11487216,Okay,3777
275570.977673137,1497707.84357503,Okay,3778
275570.781734932,1497705.90628561,Okay,3779
275569.2552029,1497708.3225555,Okay,3780
275569.815092327,1497708.55771918,Okay,3781
275570.05322855,1497710.02584855,Okay,3782
275571.737240702,1497709.27010862,Okay,3783
275570.919912026,1497711.15460274,Okay,3784
275570.971619769,1497711.4022358,Okay,3785
275571.518174834,1497708.86691682,Okay,3786
275568.233928285,1497710.30703225,Okay,3787
