dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275561.752884306,1497691.81798915,Okay,1057
275561.273579699,1497693.0859165,Okay,1058
275559.530344818,1497696.17278205,Okay,1059
275563.740923045,1497690.15743184,_Outside_cell,1060
275561.970641575,1497689.49534722,_Outside_cell,1251
275561.956555575,1497691.64866798,Okay,1252
275560.712155304,1497692.56676686,Okay,1253
275561.316903142,1497691.33146603,Okay,1254
275559.713408479,1497693.98352399,Okay,1255
275557.799764867,1497690.02000243,Okay,1256
275557.408430199,1497688.24529795,Okay,1257
275557.300160925,1497687.65178935,_Outside_cell,1258
275559.415594887,1497688.98752542,_Outside_cell,1259
275560.233697011,1497689.59910768,Okay,1260
275559.841095642,1497688.84879566,_Outside_cell,1261
275559.587880172,1497688.72796943,_Outside_cell,1262
275560.221479271,1497688.91980958,_Outside_cell,1263
275558.035902027,1497695.56253335,Okay,1264
275556.248758107,1497695.43450856,Okay,1265
275555.48300202,1497695.27754946,Okay,1266
275556.520437483,1497693.29654795,Okay,1267
275558.858435164,1497697.05842579,Okay,1268
275558.814275676,1497697.59393462,Okay,1269
275559.367051402,1497698.60033381,Okay,1270
275561.201400561,1497696.78514756,Okay,1271
275561.40067363,1497696.80383511,Okay,1272
275562.273600804,1497696.76832157,Okay,1273
275561.838667093,1497698.13370307,Okay,1274
