dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275577.443987071,1497678.32389221,Okay,174
275576.709357684,1497679.08349884,Okay,175
275578.635373045,1497679.90810278,Okay,176
275579.832658731,1497681.66540119,Okay,177
275578.752329734,1497681.08594952,Okay,178
275575.891052336,1497681.40215207,Okay,179
275576.637643929,1497683.00282215,Okay,180
275575.944130945,1497684.75777947,Okay,181
275575.056372336,1497683.45315002,Okay,182
275574.490382657,1497683.05665234,Okay,183
275573.973208127,1497681.10722978,Okay,184
275575.180101144,1497679.65901975,Okay,185
275572.452714594,1497679.71167647,Okay,186
275572.81606842,1497678.85384073,Okay,187
275574.766167065,1497679.92436085,Okay,188
275575.518494959,1497679.3600862,Okay,189
275575.791242255,1497677.96761791,Okay,190
275576.643386391,1497677.8107825,Okay,191
275577.242208972,1497676.66546912,_Distances_too_small,192
275576.451341283,1497676.10901195,_Distances_too_small,193
275574.741101306,1497676.90980187,Okay,194
275573.417358511,1497678.1272152,Okay,195
