UnknownX,UnknownY,Tag
275574.069533534,1497667.07738299,1023
275572.346053517,1497666.56393727,1024
275572.602011107,1497666.93503839,1025
275571.209671285,1497666.23838638,1026
275573.233905625,1497666.49632576,1027
275574.307222552,1497667.39659483,1028
275575.430077232,1497669.19094057,1029
275568.284742283,1497663.7444178,1030
275572.344409183,1497664.16304311,1031
275567.776444928,1497661.68591484,1032
275570.469220294,1497665.35421493,1033
275570.37555605,1497665.55695393,1034
275570.684914961,1497665.60053466,1035
275571.171098136,1497665.580574,1036
275572.138648729,1497666.41847315,1037
275570.441809588,1497667.53876363,1038
275569.497437354,1497667.46864863,1039
275570.079845861,1497668.14834675,1040
275569.483410954,1497668.72579237,1041
275570.258747992,1497669.48836784,1042
275571.52009957,1497669.17221785,1043
275571.852306531,1497668.8627605,1044
275572.510734691,1497669.68017844,1045
275572.479408829,1497670.39103791,1046
275573.017686214,1497671.016334,1047
275574.346414083,1497672.70878731,1048
275575.181204705,1497672.13992837,1049
275574.906733962,1497673.53797641,1050
275575.783165748,1497671.70542862,1051
275575.433265064,1497670.97059181,1052
275575.535240529,1497669.86616009,1053
275575.208673147,1497669.3338638,1054
275575.222033047,1497669.75376164,1055
275575.05349128,1497669.72466189,1056
